,Question,Answer,Maturity level,ESG,ESRS impact,,,
Process future,"Within the process dimension (equipment, production), what is your goal for your digital hazardous chemical use intelligence? Please click on the description that best fits your company's future desired situation. ","AI systems autonomously manage procurement, process recipes, and production parameters in real time to minimize the use of hazardous chemicals, balancing cost, safety, and environmental goals without human input.",5,Environmental,Hazardous chemical use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital hazardous chemical use integration? Please click on the description that best fits your company's current situation. ","Basic substitution targets exist, but they are not linked to digital systems. Monitoring and management of hazardous substances are manual and fragmented.",1,Environmental,Hazardous chemical use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital hazardous chemical use integration? Please click on the description that best fits your company's current situation. ",Policies require digital diagnostics to track hazardous substance use and identify high-risk materials and processes.,2,Environmental,Hazardous chemical use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital hazardous chemical use integration? Please click on the description that best fits your company's current situation. ",Predictive modelling is required in procurement and process planning to anticipate hazardous chemical use and evaluate safer alternatives.,3,Environmental,Hazardous chemical use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital hazardous chemical use integration? Please click on the description that best fits your company's current situation. ","Prescriptive substitution and phase-out systems are integrated into operational procedures, guiding real-time decision-making to reduce hazardous chemical usage.",4,Environmental,Hazardous chemical use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital hazardous chemical use integration? Please click on the description that best fits your company's current situation. ","Adaptive systems are mandated to autonomously optimise and substitute hazardous chemicals, continuously learning from operations, with minimal human intervention.",5,Environmental,Hazardous chemical use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital hazardous chemical use integration? Please click on the description that best fits your company's future desired situation. ","Basic substitution targets exist, but they are not linked to digital systems. Monitoring and management of hazardous substances are manual and fragmented.",1,Environmental,Hazardous chemical use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital hazardous chemical use integration? Please click on the description that best fits your company's future desired situation. ",Policies require digital diagnostics to track hazardous substance use and identify high-risk materials and processes.,2,Environmental,Hazardous chemical use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital hazardous chemical use integration? Please click on the description that best fits your company's future desired situation. ",Predictive modelling is required in procurement and process planning to anticipate hazardous chemical use and evaluate safer alternatives.,3,Environmental,Hazardous chemical use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital hazardous chemical use integration? Please click on the description that best fits your company's future desired situation. ","Prescriptive substitution and phase-out systems are integrated into operational procedures, guiding real-time decision-making to reduce hazardous chemical usage.",4,Environmental,Hazardous chemical use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital hazardous chemical use integration? Please click on the description that best fits your company's future desired situation. ","Adaptive systems are mandated to autonomously optimise and substitute hazardous chemicals, continuously learning from operations, with minimal human intervention.",5,Environmental,Hazardous chemical use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital resource use efficiency competency? Please click on the description that best fits your company's current situation. ",Awareness campaigns inform employees about resource consumption risks and material efficiency principles. Digital engagement is minimal.,1,Environmental,Resource use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital resource use efficiency competency? Please click on the description that best fits your company's current situation. ","Targeted training enables staff to use digital dashboards (e.g., MES, ERP) to identify instances of material overuse and inefficiency.",2,Environmental,Resource use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital resource use efficiency competency? Please click on the description that best fits your company's current situation. ",Employees interpret predictive models that forecast material consumption risks. Preventive actions are taken to reduce waste and inefficiency.,3,Environmental,Resource use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital resource use efficiency competency? Please click on the description that best fits your company's current situation. ",Staff collaborate with prescriptive tools that recommend process or schedule adjustments to improve material efficiency. Actions are regularly implemented and reviewed.,4,Environmental,Resource use,,,
People current,"Within the people dimension (skills, knowledge), what is your digital resource use efficiency competency? Please click on the description that best fits your company's current situation. ","Employees actively participate in knowledge-sharing platforms. Real-world insights feed into adaptive digital systems, driving ongoing improvements in resource consumption.",5,Environmental,Resource use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital resource use efficiency competency? Please click on the description that best fits your company's future desired situation. ",Awareness campaigns inform employees about resource consumption risks and material efficiency principles. Digital engagement is minimal.,1,Environmental,Resource use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital resource use efficiency competency? Please click on the description that best fits your company's future desired situation. ","Targeted training enables staff to use digital dashboards (e.g., MES, ERP) to identify instances of material overuse and inefficiency.",2,Environmental,Resource use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital resource use efficiency competency? Please click on the description that best fits your company's future desired situation. ",Employees interpret predictive models that forecast material consumption risks. Preventive actions are taken to reduce waste and inefficiency.,3,Environmental,Resource use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital resource use efficiency competency? Please click on the description that best fits your company's future desired situation. ",Staff collaborate with prescriptive tools that recommend process or schedule adjustments to improve material efficiency. Actions are regularly implemented and reviewed.,4,Environmental,Resource use,,,
People future,"Within the people dimension (skills, knowledge), what is your goal for your digital resource use efficiency competency? Please click on the description that best fits your company's future desired situation. ","Employees actively participate in knowledge-sharing platforms. Real-world insights feed into adaptive digital systems, driving ongoing improvements in resource consumption.",5,Environmental,Resource use,,,
Process current,"Within the process dimension (equipment and production), what is your digital resource efficiency intelligence? Please click on the description that best fits your company's current situation. ","Raw material consumption is recorded manually or after the production process. Data is used primarily for inventory or compliance, with minimal insight into efficiency.",1,Environmental,Resource use,,,
Process current,"Within the process dimension (equipment and production), what is your digital resource efficiency intelligence? Please click on the description that best fits your company's current situation. ","Manufacturing Execution Systems (MES) and process tools provide real-time diagnostics and trends on material usage, helping identify inefficiencies and overuse as they occur.",2,Environmental,Resource use,,,
Process current,"Within the process dimension (equipment and production), what is your digital resource efficiency intelligence? Please click on the description that best fits your company's current situation. ","Predictive models use production plans, product mix, and historical data to forecast material consumption, supporting proactive inventory and process optimization.",3,Environmental,Resource use,,,
Process current,"Within the process dimension (equipment and production), what is your digital resource efficiency intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend adjustments to production sequences, batch sizes, or process steps to reduce material use while maintaining quality and throughput.",4,Environmental,Resource use,,,
Process current,"Within the process dimension (equipment and production), what is your digital resource efficiency intelligence? Please click on the description that best fits your company's current situation. ","AI-driven systems autonomously manage material inputs and process parameters in real time, continuously optimizing for minimal raw material use without human intervention.",5,Environmental,Resource use,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital resource efficiency intelligence? Please click on the description that best fits your company's future desired situation. ","Raw material consumption is recorded manually or after the production process. Data is used primarily for inventory or compliance, with minimal insight into efficiency.",1,Environmental,Resource use,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital resource efficiency intelligence? Please click on the description that best fits your company's future desired situation. ","Manufacturing Execution Systems (MES) and process tools provide real-time diagnostics and trends on material usage, helping identify inefficiencies and overuse as they occur.",2,Environmental,Resource use,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital resource efficiency intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive models use production plans, product mix, and historical data to forecast material consumption, supporting proactive inventory and process optimization.",3,Environmental,Resource use,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital resource efficiency intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend adjustments to production sequences, batch sizes, or process steps to reduce material use while maintaining quality and throughput.",4,Environmental,Resource use,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital resource efficiency intelligence? Please click on the description that best fits your company's future desired situation. ","AI-driven systems autonomously manage material inputs and process parameters in real time, continuously optimizing for minimal raw material use without human intervention.",5,Environmental,Resource use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital resource use integration? Please click on the description that best fits your company's current situation. ","General material efficiency targets exist, but they are not connected to digital systems. Monitoring and action are manual and disconnected from operations.",1,Environmental,Resource use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital resource use integration? Please click on the description that best fits your company's current situation. ","Policies require digital diagnostics to identify material overuse and waste, using systems such as MES (Manufacturing Execution Systems) and SPC (Statistical Process Control).",2,Environmental,Resource use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital resource use integration? Please click on the description that best fits your company's current situation. ","Predictive modelling of material efficiency is embedded in production planning and reporting, supporting proactive adjustments based on expected consumption and waste patterns.",3,Environmental,Resource use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital resource use integration? Please click on the description that best fits your company's current situation. ","Prescriptive systems are embedded in daily operations, automatically adjusting processes and material inputs in real time to meet efficiency targets.",4,Environmental,Resource use,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital resource use integration? Please click on the description that best fits your company's current situation. ","Policies mandate adaptive, autonomous material optimisation systems, which continuously refine material use without manual input, with human oversight reserved for validation and exception handling.",5,Environmental,Resource use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital resource use integration? Please click on the description that best fits your company's future desired situation. ","General material efficiency targets exist, but they are not connected to digital systems. Monitoring and action are manual and disconnected from operations.",1,Environmental,Resource use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital resource use integration? Please click on the description that best fits your company's future desired situation. ","Policies require digital diagnostics to identify material overuse and waste, using systems such as MES (Manufacturing Execution Systems) and SPC (Statistical Process Control).",2,Environmental,Resource use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital resource use integration? Please click on the description that best fits your company's future desired situation. ","Predictive modelling of material efficiency is embedded in production planning and reporting, supporting proactive adjustments based on expected consumption and waste patterns.",3,Environmental,Resource use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital resource use integration? Please click on the description that best fits your company's future desired situation. ","Prescriptive systems are embedded in daily operations, automatically adjusting processes and material inputs in real time to meet efficiency targets.",4,Environmental,Resource use,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital resource use integration? Please click on the description that best fits your company's future desired situation. ","Policies mandate adaptive, autonomous material optimisation systems, which continuously refine material use without manual input, with human oversight reserved for validation and exception handling.",5,Environmental,Resource use,,,
People current,"Within the people dimension (skills and knowledge), what is your digital waste management competency? Please click on the description that best fits your company's current situation. ","Awareness campaigns inform employees about waste types, segregation, and management principles. Digital tools are not actively used.",1,Environmental,Waste management ,,,
People current,"Within the people dimension (skills and knowledge), what is your digital waste management competency? Please click on the description that best fits your company's current situation. ","Employees are trained to use digital dashboards (e.g., MES, SPC) to monitor waste streams and identify high-waste areas or processes.",2,Environmental,Waste management ,,,
People current,"Within the people dimension (skills and knowledge), what is your digital waste management competency? Please click on the description that best fits your company's current situation. ",Staff use predictive dashboards to detect trends in waste generation and take early action to prevent excess waste.,3,Environmental,Waste management ,,,
People current,"Within the people dimension (skills and knowledge), what is your digital waste management competency? Please click on the description that best fits your company's current situation. ",Employees engage with prescriptive systems that recommend targeted segregation strategies and process improvements to reduce waste.,4,Environmental,Waste management ,,,
People current,"Within the people dimension (skills and knowledge), what is your digital waste management competency? Please click on the description that best fits your company's current situation. ","Employees participate in adaptive digital platforms to share insights and co-develop strategies for continuous waste reduction, supporting zero-waste goals.",5,Environmental,Waste management ,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital waste management competency? Please click on the description that best fits your company's future desired situation. ","Awareness campaigns inform employees about waste types, segregation, and management principles. Digital tools are not actively used.",1,Environmental,Waste management ,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital waste management competency? Please click on the description that best fits your company's future desired situation. ","Employees are trained to use digital dashboards (e.g., MES, SPC) to monitor waste streams and identify high-waste areas or processes.",2,Environmental,Waste management ,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital waste management competency? Please click on the description that best fits your company's future desired situation. ",Staff use predictive dashboards to detect trends in waste generation and take early action to prevent excess waste.,3,Environmental,Waste management ,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital waste management competency? Please click on the description that best fits your company's future desired situation. ",Employees engage with prescriptive systems that recommend targeted segregation strategies and process improvements to reduce waste.,4,Environmental,Waste management ,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital waste management competency? Please click on the description that best fits your company's future desired situation. ","Employees participate in adaptive digital platforms to share insights and co-develop strategies for continuous waste reduction, supporting zero-waste goals.",5,Environmental,Waste management ,,,
Process current,"Within the process dimension (equipment and production), what is your digital waste management intelligence? Please click on the description that best fits your company's current situation. ","Waste data is collected manually, typically for compliance or reporting. Limited granularity and no real-time visibility into waste generation trends or causes.",1,Environmental,Waste management ,,,
Process current,"Within the process dimension (equipment and production), what is your digital waste management intelligence? Please click on the description that best fits your company's current situation. ","Digital dashboards (e.g., MES, ERP) track waste generation by type (hazardous, non-hazardous) and stream (e.g., solid, liquid, packaging) in real time, enabling better categorization and basic analysis.",2,Environmental,Waste management ,,,
Process current,"Within the process dimension (equipment and production), what is your digital waste management intelligence? Please click on the description that best fits your company's current situation. ","Predictive models forecast potential waste generation based on production schedules, process variability, and historical trends. Risks of overgeneration or disposal bottlenecks can be anticipated.",3,Environmental,Waste management ,,,
Process current,"Within the process dimension (equipment and production), what is your digital waste management intelligence? Please click on the description that best fits your company's current situation. ","Systems recommend targeted process changes, improved material sorting, recycling strategies, or scheduling tweaks to minimize waste output and enhance diversion.",4,Environmental,Waste management ,,,
Process current,"Within the process dimension (equipment and production), what is your digital waste management intelligence? Please click on the description that best fits your company's current situation. ","AI-driven systems continuously and autonomously optimize waste flows, recycling operations, and production processes to reduce waste generation in real time, minimizing environmental impact and disposal costs without manual intervention.",5,Environmental,Waste management ,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital waste management intelligence? Please click on the description that best fits your company's future desired situation. ","Waste data is collected manually, typically for compliance or reporting. Limited granularity and no real-time visibility into waste generation trends or causes.",1,Environmental,Waste management ,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital waste management intelligence? Please click on the description that best fits your company's future desired situation. ","Digital dashboards (e.g., MES, ERP) track waste generation by type (hazardous, non-hazardous) and stream (e.g., solid, liquid, packaging) in real time, enabling better categorization and basic analysis.",2,Environmental,Waste management ,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital waste management intelligence? Please click on the description that best fits your company's future desired situation. ","Predictive models forecast potential waste generation based on production schedules, process variability, and historical trends. Risks of overgeneration or disposal bottlenecks can be anticipated.",3,Environmental,Waste management ,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital waste management intelligence? Please click on the description that best fits your company's future desired situation. ","Systems recommend targeted process changes, improved material sorting, recycling strategies, or scheduling tweaks to minimize waste output and enhance diversion.",4,Environmental,Waste management ,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital waste management intelligence? Please click on the description that best fits your company's future desired situation. ","AI-driven systems continuously and autonomously optimize waste flows, recycling operations, and production processes to reduce waste generation in real time, minimizing environmental impact and disposal costs without manual intervention.",5,Environmental,Waste management ,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital waste management integration? Please click on the description that best fits your company's current situation. ","Basic waste reduction targets exist, but they are not connected to digital systems. Monitoring and management are manual, with limited operational alignment.",1,Environmental,Waste management ,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital waste management integration? Please click on the description that best fits your company's current situation. ","Policies require diagnostics of waste generation via digital tools, enabling visibility into waste types, volumes, and sources across production processes.",2,Environmental,Waste management ,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital waste management integration? Please click on the description that best fits your company's current situation. ","Predictive models are required in production and waste management planning, using data trends to forecast waste generation and support proactive reduction strategies.",3,Environmental,Waste management ,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital waste management integration? Please click on the description that best fits your company's current situation. ","Prescriptive systems are mandated to support live segregation decision-making, guiding real-time waste handling and separation to optimise recycling and disposal.",4,Environmental,Waste management ,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital waste management integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive systems that manage waste automatically, using autonomous controls to reduce, segregate, and direct waste streams, with human intervention only for exceptions.",5,Environmental,Waste management ,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital waste management integration? Please click on the description that best fits your company's future desired situation. ","Basic waste reduction targets exist, but they are not connected to digital systems. Monitoring and management are manual, with limited operational alignment.",1,Environmental,Waste management ,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital waste management integration? Please click on the description that best fits your company's future desired situation. ","Policies require diagnostics of waste generation via digital tools, enabling visibility into waste types, volumes, and sources across production processes.",2,Environmental,Waste management ,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital waste management integration? Please click on the description that best fits your company's future desired situation. ","Predictive models are required in production and waste management planning, using data trends to forecast waste generation and support proactive reduction strategies.",3,Environmental,Waste management ,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital waste management integration? Please click on the description that best fits your company's future desired situation. ","Prescriptive systems are mandated to support live segregation decision-making, guiding real-time waste handling and separation to optimise recycling and disposal.",4,Environmental,Waste management ,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital waste management integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive systems that manage waste automatically, using autonomous controls to reduce, segregate, and direct waste streams, with human intervention only for exceptions.",5,Environmental,Waste management ,,,
People current,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ","Awareness campaigns introduce digital tool accessibility features (visual, audio, tactile) and their potential benefits. Usage is minimal and not yet integrated into daily tasks.",1,Social,Diversity & inclusion,,,
People current,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ",Targeted training is provided to employees with diverse needs on how to use digital tools such as fault guides and instructional overlays adapted to specific disabilities.,2,Social,Diversity & inclusion,,,
People current,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ","Employees with diverse needs use digital tool simulations to safely rehearse complex or high-risk tasks in virtual environments, building confidence and competence.",3,Social,Diversity & inclusion,,,
People current,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ","Employees collaborate with prescriptive digital tools that deliver tailored, real-time instructions using accessibility features (e.g., voice guidance, gaze-based navigation, haptic feedback).",4,Social,Diversity & inclusion,,,
People current,"Within the people dimension (skills and knowledge), what is your digital diversity and inclusion competency? Please click on the description that best fits your company's current situation. ","Employees actively contribute to adaptive digital systems that learn from user input to continuously enhance accessibility. Customization becomes embedded and automated, supporting inclusive experiences at scale.",5,Social,Diversity & inclusion,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ","Awareness campaigns introduce digital tool accessibility features (visual, audio, tactile) and their potential benefits. Usage is minimal and not yet integrated into daily tasks.",1,Social,Diversity & inclusion,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ",Targeted training is provided to employees with diverse needs on how to use digital tools such as fault guides and instructional overlays adapted to specific disabilities.,2,Social,Diversity & inclusion,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ","Employees with diverse needs use digital tool simulations to safely rehearse complex or high-risk tasks in virtual environments, building confidence and competence.",3,Social,Diversity & inclusion,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ","Employees collaborate with prescriptive digital tools that deliver tailored, real-time instructions using accessibility features (e.g., voice guidance, gaze-based navigation, haptic feedback).",4,Social,Diversity & inclusion,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital diversity and inclusion competency? Please click on the description that best fits your company's future desired situation. ","Employees actively contribute to adaptive digital systems that learn from user input to continuously enhance accessibility. Customization becomes embedded and automated, supporting inclusive experiences at scale.",5,Social,Diversity & inclusion,,,
Process current,"Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","Digital tools are used only for basic onboarding or training content. Accessibility features are minimal or generic, offering limited support for diverse abilities.",1,Social,Diversity & inclusion,,,
Process current,"Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","Digital tools provide accessible visual, audio, or tactile overlays for specific diagnostic or instructional tasks. Support is available for selected disabilities (e.g., hearing, vision, mobility) but not yet integrated across all operations.",2,Social,Diversity & inclusion,,,
Process current,"Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","Digital tools allow employees to rehearse complex operations, supporting diverse learning styles and expanding inclusive participation in process improvement and optimization activities.",3,Social,Diversity & inclusion,,,
Process current,"Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","Digital tools guide employees through real-time operational tasks using user-adaptive prompts, voice control, gesture recognition, and navigation; tailored to individual needs and work contexts.",4,Social,Diversity & inclusion,,,
Process current,"Within the process dimension (equipment and production), what is your digital diversity and inclusion intelligence? Please click on the description that best fits your company's current situation. ","AI-powered digital tools autonomously personalize task flows, content display, interaction modes, and user interfaces to fit each employee’s cognitive, sensory, or physical requirements; empowering full participation in all operational roles.",5,Social,Diversity & inclusion,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools are used only for basic onboarding or training content. Accessibility features are minimal or generic, offering limited support for diverse abilities.",1,Social,Diversity & inclusion,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools provide accessible visual, audio, or tactile overlays for specific diagnostic or instructional tasks. Support is available for selected disabilities (e.g., hearing, vision, mobility) but not yet integrated across all operations.",2,Social,Diversity & inclusion,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools allow employees to rehearse complex operations, supporting diverse learning styles and expanding inclusive participation in process improvement and optimization activities.",3,Social,Diversity & inclusion,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","Digital tools guide employees through real-time operational tasks using user-adaptive prompts, voice control, gesture recognition, and navigation; tailored to individual needs and work contexts.",4,Social,Diversity & inclusion,,,
Process future,"Within the process dimension (equipment and production), what is your goal for your digital diversity and inclusion intelligence? Please click on the description that best fits your company's future desired situation. ","AI-powered digital tools autonomously personalize task flows, content display, interaction modes, and user interfaces to fit each employee’s cognitive, sensory, or physical requirements; empowering full participation in all operational roles.",5,Social,Diversity & inclusion,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","General inclusion policies exist, but they have no integration with digital systems or tools. Efforts are manual and lack operational alignment.",1,Social,Diversity & inclusion,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","Policies require diagnostics of task inclusiveness and digital tool accessibility features, using digital tools to assess whether workflows and interfaces support diverse needs.",2,Social,Diversity & inclusion,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","Policies require predictive reviews of workplace accessibility gaps, leveraging digital tools to anticipate and plan for inclusion challenges across roles and environments.",3,Social,Diversity & inclusion,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","Policies enforce prescriptive digital tools deployment, integrating inclusion and accessibility features directly into operational workflows to guide equitable task execution.",4,Social,Diversity & inclusion,,,
Policy current,"Within the policy dimension (strategy, formalization), what is your digital diversity and inclusion integration? Please click on the description that best fits your company's current situation. ","Policies require adaptive digital tools embedded across workflows, with systems dynamically optimising accessibility and personalisation in real time, requiring human intervention only for exception management.",5,Social,Diversity & inclusion,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. ","General inclusion policies exist, but they have no integration with digital systems or tools. Efforts are manual and lack operational alignment.",1,Social,Diversity & inclusion,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. ","Policies require diagnostics of task inclusiveness and digital tool accessibility features, using digital tools to assess whether workflows and interfaces support diverse needs.",2,Social,Diversity & inclusion,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. ","Policies require predictive reviews of workplace accessibility gaps, leveraging digital tools to anticipate and plan for inclusion challenges across roles and environments.",3,Social,Diversity & inclusion,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. ","Policies enforce prescriptive digital tools deployment, integrating inclusion and accessibility features directly into operational workflows to guide equitable task execution.",4,Social,Diversity & inclusion,,,
Policy future,"Within the policy dimension (strategy, formalization), what is your goal for your digital diversity and inclusion integration? Please click on the description that best fits your company's future desired situation. ","Policies require adaptive digital tools embedded across workflows, with systems dynamically optimising accessibility and personalisation in real time, requiring human intervention only for exception management.",5,Social,Diversity & inclusion,,,
People current,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ","Awareness campaigns introduce digital learning tools, but engagement is limited and informal.",1,Social,Training & skills,,,
People current,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ",Employees receive targeted training on how to use digital dashboards platforms for job-specific learning and real-time performance support.,2,Social,Training & skills,,,
People current,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ","Staff interpret predictive alerts indicating skill gaps or upcoming training needs, and independently engage with simulations or tailored learning content.",3,Social,Training & skills,,,
People current,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ","Employees collaborate with prescriptive digital training tools that recommend content, pathways, or skill-building activities based on role, performance, and development goals. Feedback loops refine the learning experience.",4,Social,Training & skills,,,
People current,"Within the people dimension (skills and knowledge), what is your digital training and skills competency? Please click on the description that best fits your company's current situation. ","Employees participate in peer-learning communities supported by digital systems that dynamically personalise training journeys. The platform evolves through employee feedback, usage data, and operational needs.",5,Social,Training & skills,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ","Awareness campaigns introduce digital learning tools, but engagement is limited and informal.",1,Social,Training & skills,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ",Employees receive targeted training on how to use digital dashboards platforms for job-specific learning and real-time performance support.,2,Social,Training & skills,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ","Staff interpret predictive alerts indicating skill gaps or upcoming training needs, and independently engage with simulations or tailored learning content.",3,Social,Training & skills,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ","Employees collaborate with prescriptive digital training tools that recommend content, pathways, or skill-building activities based on role, performance, and development goals. Feedback loops refine the learning experience.",4,Social,Training & skills,,,
People future,"Within the people dimension (skills and knowledge), what is your goal for your digital training and skills competency? Please click on the description that best fits your company's future desired situation. ","Employees participate in peer-learning communities supported by digital systems that dynamically personalise training journeys. The platform evolves through employee feedback, usage data, and operational needs.",5,Social,Training & skills,,,
Process current,"Within the process dimension (equipment and production), what is your digital training and skills intelligence? Please click on the description that best fits your company's current situation. ",Human-Machine Interfaces (HMI) and dashboards are used for static data display only. They provide limited or no support for learning or skill development during task execution.,1,Social,Training & skills,,,
